view,cart,remove_from_cart,purchase,rank,rank_in_category,release_date,date,max_price,min_price,avg_price,view_prev1,cart_prev1,remove_from_cart_prev1,purchase_prev1,view_prev2,cart_prev2,remove_from_cart_prev2,purchase_prev2,view_prev3,cart_prev3,remove_from_cart_prev3,purchase_prev3,view_prev4,cart_prev4,remove_from_cart_prev4,purchase_prev4
3805,1138,567,295,1,1,2019-10-01,2020-02-24,5.24,4.46,5.061426356589002,3733,1182,598,322,4223,1322,751,345,4643,1520,704,370,5561,1736,907,535
269,962,370,188,2,1,2019-10-01,2020-02-24,0.32,0.32,0.31999999999999557,325,1251,422,193,332,1208,419,216,458,1502,455,256,699,1830,468,329
424,1077,270,137,3,1,2019-10-01,2020-02-24,0.4,0.4,0.4000000000000034,471,1214,374,140,567,1252,332,184,548,1453,408,177,699,1544,373,216
511,755,295,141,4,1,2019-10-01,2020-02-24,0.92,0.92,0.9200000000000044,645,764,368,153,704,784,333,135,731,1006,403,184,782,1074,438,204
925,390,302,98,5,2,2019-10-01,2020-02-24,5.24,5.24,5.239999999999935,1053,517,372,115,1341,597,438,132,1692,695,418,163,1755,765,539,250
807,514,285,145,6,1,2019-10-01,2020-02-24,10.95,10.95,10.949999999999886,843,482,250,144,715,450,245,122,927,527,291,145,1107,585,350,209
184,440,136,118,7,1,2019-10-01,2020-02-24,0.32,0.32,0.31999999999999795,221,475,190,112,249,549,190,141,282,558,208,134,259,651,212,193
885,431,238,109,8,1,2019-10-01,2020-02-24,10.32,10.32,10.319999999999967,851,490,251,139,923,431,247,116,885,429,265,111,1100,546,282,189
389,1343,296,163,9,2,2019-10-01,2020-02-24,0.32,0.32,0.3199999999999951,331,1188,326,146,349,1406,370,161,479,1309,366,191,185,536,207,45
1113,487,267,135,10,2,2019-10-01,2020-02-24,10.32,8.78,9.803846153846104,962,430,239,103,932,411,242,112,1071,451,284,122,1286,520,289,163
493,271,160,100,11,2,2019-10-01,2020-02-24,10.32,10.32,10.320000000000057,505,304,187,94,500,333,212,89,650,378,221,111,673,468,268,145
636,322,229,79,12,3,2019-10-01,2020-02-24,5.24,5.24,5.23999999999999,637,390,278,87,875,413,289,75,1040,487,288,117,984,476,329,130
17,53,101,6,13,1,2019-10-01,2020-02-24,0.35,0.35,0.3500000000000002,67,253,130,46,41,83,166,7,147,726,354,75,343,1679,438,260
201,46,28,6,14,2,2019-10-01,2020-02-24,7.94,7.94,7.9400000000000155,171,49,29,4,195,21,38,3,1266,582,176,56,5037,2609,540,309
596,278,210,51,15,4,2019-10-01,2020-02-24,5.24,5.24,5.240000000000005,785,384,227,85,714,346,280,65,853,460,304,102,986,501,352,112
86,381,148,68,16,3,2019-10-01,2020-02-24,0.38,0.38,0.3799999999999996,90,479,144,69,117,587,162,91,121,600,170,93,85,695,183,108
138,218,89,70,17,1,2019-10-01,2020-02-24,3.33,3.33,3.3300000000000005,136,195,66,74,146,182,73,61,162,240,107,95,170,272,116,125
449,271,171,71,18,1,2019-10-01,2020-02-24,9.52,9.52,9.519999999999985,452,289,178,72,471,280,167,83,754,380,196,105,530,298,158,93
180,192,111,75,19,1,2019-10-01,2020-02-24,1.27,1.27,1.2700000000000031,275,248,122,68,323,262,142,86,299,312,157,85,288,265,113,110
385,306,171,88,20,1,2019-10-01,2020-02-24,0.79,0.79,0.789999999999998,466,325,157,96,415,281,137,66,413,305,171,85,417,299,169,95
243,228,137,78,21,1,2019-10-01,2020-02-24,1.9,1.9,1.8999999999999928,306,248,150,77,278,278,126,81,249,224,129,68,290,321,184,98
150,147,67,68,22,1,2019-10-01,2020-02-24,2.38,2.38,2.3799999999999963,166,211,107,69,152,156,90,58,190,218,70,82,221,215,91,115
141,541,119,88,23,4,2019-10-01,2020-02-24,0.4,0.4,0.4000000000000021,152,560,139,50,120,598,126,77,178,635,116,90,174,841,202,105
72,563,129,92,24,2,2019-10-01,2020-02-24,0.32,0.32,0.3199999999999981,52,470,160,67,58,481,180,63,60,500,117,90,69,548,131,90
295,366,121,59,25,1,2019-10-01,2020-02-24,1.98,1.98,1.9800000000000078,242,318,151,64,365,573,177,86,318,484,150,74,289,404,112,83
151,186,78,72,26,1,2019-10-01,2020-02-24,2.37,2.37,2.370000000000003,209,204,86,72,252,237,114,64,237,259,93,71,229,306,106,84
126,141,90,44,27,1,2019-10-01,2020-02-24,3.16,3.16,3.160000000000008,113,154,101,51,118,183,95,54,192,233,135,89,191,219,107,90
116,269,116,71,28,2,2019-10-01,2020-02-24,0.67,0.59,0.6694405594405606,96,370,165,65,114,295,114,82,106,274,133,56,118,263,145,66
95,91,54,38,29,2,2019-10-01,2020-02-24,2.22,2.22,2.219999999999999,107,120,60,60,111,117,64,40,110,146,81,58,264,311,125,103
477,187,173,34,30,3,2019-10-01,2020-02-24,6.27,6.27,6.269999999999985,513,292,167,65,560,229,178,48,601,269,178,72,644,313,209,73
47,144,50,53,31,3,2019-10-01,2020-02-24,0.41,0.41,0.4099999999999994,70,162,65,56,76,157,67,58,96,220,109,61,75,221,87,79
363,195,135,49,32,1,2019-10-01,2020-02-24,2.68,2.68,2.679999999999993,328,210,142,60,388,219,151,53,435,261,231,56,552,275,211,84
194,257,107,72,33,2,2019-10-01,2020-02-24,1.19,1.19,1.1899999999999982,205,225,110,43,189,211,109,53,225,259,116,68,224,274,109,84
49,130,86,57,34,3,2019-10-01,2020-02-24,1.43,1.43,1.430000000000004,52,178,70,62,60,150,73,64,67,152,84,52,53,184,72,70
112,153,116,55,35,1,2019-10-01,2020-02-24,1.43,1.43,1.4300000000000048,123,207,116,74,118,188,85,62,107,187,106,54,107,191,124,57
248,158,106,45,36,3,2019-10-01,2020-02-24,7.14,7.14,7.140000000000013,283,184,104,57,260,190,115,53,304,202,119,63,306,231,133,72
140,144,116,35,37,1,2019-10-01,2020-02-24,3.02,3.02,3.0199999999999956,161,203,114,45,189,196,131,63,210,231,138,55,200,220,130,80
395,225,141,52,38,5,2019-10-01,2020-02-24,5.24,5.24,5.240000000000007,486,239,167,52,475,251,195,54,518,313,202,53,615,336,195,81
115,197,94,41,39,1,2019-10-01,2020-02-24,0.63,0.63,0.6299999999999994,142,279,91,58,131,258,104,61,124,253,87,54,148,313,120,61
411,212,139,48,40,6,2019-10-01,2020-02-24,5.24,4.71,5.050246913580262,256,181,129,42,334,203,168,50,370,257,158,67,353,236,200,74
360,166,121,39,41,7,2019-10-01,2020-02-24,5.24,5.24,5.240000000000007,434,194,132,44,505,226,184,50,539,256,164,59,561,275,174,78
215,126,72,36,42,1,2019-10-01,2020-02-24,2.38,2.38,2.379999999999997,266,141,76,45,256,146,59,59,283,156,105,47,325,187,113,70
196,129,89,49,43,1,2019-10-01,2020-02-24,4.52,4.52,4.51999999999999,235,140,94,35,337,189,79,47,242,174,132,58,300,236,143,81
142,271,123,55,44,3,2019-10-01,2020-02-24,1.59,1.59,1.5899999999999979,151,231,120,49,132,256,144,56,149,201,143,41,175,319,168,72
209,145,65,45,45,1,2019-12-01,2020-02-24,1.43,1.43,1.4300000000000048,304,169,102,53,278,163,88,38,285,191,94,58,296,220,103,68
