view,cart,remove_from_cart,purchase,rank,rank_in_category,release_date,date,max_price,min_price,avg_price,view_prev1,cart_prev1,remove_from_cart_prev1,purchase_prev1,view_prev2,cart_prev2,remove_from_cart_prev2,purchase_prev2,view_prev3,cart_prev3,remove_from_cart_prev3,purchase_prev3,view_prev4,cart_prev4,remove_from_cart_prev4,purchase_prev4
5321,1575,618,405,1,1,2019-10-01,2019-12-02,5.24,5.24,5.239999999999816,6063,2213,885,574,5415,2397,983,729,3771,1330,516,343,3323,1379,523,430
324,1085,362,204,2,1,2019-10-01,2019-12-02,0.32,0.32,0.31999999999999534,392,1573,468,282,472,2104,525,414,213,1122,282,181,245,1074,260,249
1126,762,302,266,3,1,2019-10-01,2019-12-02,0.95,0.95,0.9500000000000103,1218,954,356,350,775,957,333,369,303,442,206,153,238,425,174,146
981,515,318,123,4,1,2019-10-01,2019-12-02,10.95,10.95,10.94999999999988,1528,828,453,247,1394,1049,569,315,1048,580,281,164,1082,599,321,186
1391,667,391,179,5,2,2019-10-01,2019-12-02,5.24,5.24,5.239999999999883,2123,1033,613,266,2203,1378,672,359,524,195,239,28,1336,590,375,187
633,788,378,123,6,1,2019-10-01,2019-12-02,0.92,0.92,0.9199999999999992,886,987,403,208,962,1371,516,287,554,815,333,138,520,883,385,201
520,1366,327,152,7,1,2019-10-01,2019-12-02,0.4,0.4,0.39999999999999897,699,1668,459,185,872,2299,505,315,444,1234,336,140,380,1200,326,188
238,566,192,137,8,1,2019-10-01,2019-12-02,0.32,0.32,0.3199999999999969,258,603,243,167,389,936,292,314,230,635,187,143,265,605,195,199
1002,423,230,118,9,1,2019-10-01,2019-12-02,10.32,10.32,10.31999999999995,1249,646,394,170,1358,928,521,282,1154,524,260,146,1235,601,316,181
354,1241,288,161,10,2,2019-10-01,2019-12-02,0.32,0.32,0.3199999999999953,424,1658,404,221,279,681,409,96,442,1454,384,196,339,1865,416,260
893,401,229,109,11,2,2019-10-01,2019-12-02,10.32,10.32,10.319999999999972,1215,723,384,192,1217,932,502,257,927,489,237,109,1041,605,325,171
615,333,200,103,12,2,2019-10-01,2019-12-02,10.32,10.32,10.320000000000054,745,554,325,157,903,878,462,261,689,369,239,103,781,476,297,165
656,336,187,116,13,2,2019-10-01,2019-12-02,1.59,1.59,1.5899999999999994,682,531,343,174,640,648,287,230,383,354,200,112,365,376,158,120
254,208,237,64,14,3,2019-10-01,2019-12-02,1.59,1.59,1.5899999999999928,455,499,251,170,443,460,373,138,362,400,195,145,382,435,197,145
304,246,154,76,15,1,2019-10-01,2019-12-02,1.27,1.27,1.2699999999999994,318,305,157,106,415,384,202,152,276,236,165,72,334,275,155,107
509,243,201,46,16,3,2019-10-01,2019-12-02,5.24,5.08,5.222862862862871,737,277,315,51,1404,673,459,171,943,440,262,112,734,324,241,98
261,586,159,62,17,3,2019-10-01,2019-12-02,0.4,0.4,0.4000000000000026,471,885,176,95,383,1286,238,149,124,489,187,70,134,893,164,95
121,141,111,44,18,1,2019-10-01,2019-12-02,3.0,3.0,3.0,199,248,177,66,233,343,226,91,265,393,283,115,285,497,269,132
993,492,306,116,19,4,2019-10-01,2019-12-02,5.24,5.24,5.23999999999992,1288,700,407,157,893,453,323,88,629,232,241,44,899,413,387,114
141,205,130,63,20,1,2019-10-01,2019-12-02,0.22,0.22,0.21999999999999945,147,335,166,121,188,446,181,154,106,199,122,56,102,194,101,68
311,321,157,89,21,4,2019-10-01,2019-12-02,0.79,0.79,0.7899999999999979,381,453,265,120,341,555,203,169,116,153,93,44,95,177,85,60
115,457,147,81,22,4,2019-10-01,2019-12-02,0.38,0.38,0.379999999999999,103,614,155,121,126,781,158,117,73,463,130,78,64,380,112,72
161,177,86,54,23,1,2019-10-01,2019-12-02,2.37,2.37,2.3700000000000037,188,269,92,94,223,328,114,111,199,250,90,81,250,265,98,101
298,211,117,54,24,5,2019-10-01,2019-12-02,1.59,1.35,1.5183529411764662,447,358,297,85,471,595,270,227,178,239,103,71,38,4,54,2
205,290,113,65,25,1,2019-10-01,2019-12-02,1.98,1.98,1.980000000000005,293,598,179,113,384,662,161,145,259,509,117,74,238,417,104,51
38,228,97,30,26,1,2019-10-01,2019-12-02,0.35,0.29,0.32633587786259577,125,546,212,71,30,77,179,2,150,490,316,52,304,1485,366,256
102,119,85,36,27,6,2019-10-01,2019-12-02,0.79,0.79,0.7900000000000011,131,91,140,39,341,483,195,185,180,209,99,84,153,187,89,72
458,182,127,52,28,7,2019-10-01,2019-12-02,0.79,0.79,0.7899999999999985,583,338,184,120,696,418,250,114,524,266,168,65,549,276,158,80
251,284,143,90,29,1,2019-10-01,2019-12-02,1.9,1.9,1.8999999999999913,262,281,151,94,275,278,251,83,322,333,130,96,341,317,177,105
146,175,81,54,30,1,2019-10-01,2019-12-02,3.16,3.16,3.16000000000001,128,224,110,95,194,244,134,114,169,160,81,53,171,220,100,98
104,229,90,53,31,1,2019-10-01,2019-12-02,0.63,0.63,0.6299999999999991,124,344,104,77,164,456,120,125,131,293,111,65,126,312,143,89
70,186,83,56,32,1,2019-10-01,2019-12-02,0.41,0.41,0.4099999999999987,93,267,112,82,91,306,133,126,63,219,89,66,75,260,106,78
541,313,167,84,33,1,2019-10-01,2019-12-02,9.52,9.52,9.519999999999984,738,460,225,126,682,496,258,112,589,331,161,78,390,135,114,34
318,213,138,64,34,1,2019-10-01,2019-12-02,2.86,2.86,2.8600000000000114,351,310,194,99,466,397,206,123,278,190,145,62,344,235,153,65
73,3,140,1,35,2,2019-10-01,2019-12-02,2.68,2.49,2.5285253456221204,773,527,360,130,887,756,308,174,317,208,80,32,46,0,44,0
106,518,147,49,36,5,2019-10-01,2019-12-02,0.4,0.4,0.40000000000000174,120,676,185,78,149,1054,247,118,72,499,133,55,69,578,153,71
323,269,192,60,37,1,2019-10-01,2019-12-02,2.62,2.62,2.620000000000004,530,427,294,87,568,529,285,123,253,239,146,57,236,176,130,52
132,129,60,41,38,2,2019-10-01,2019-12-02,2.38,2.38,2.379999999999997,162,230,113,81,209,259,98,114,145,159,75,51,165,166,86,68
179,190,88,45,39,2,2019-10-01,2019-12-02,1.94,1.94,1.939999999999998,213,228,124,81,162,324,115,106,159,216,80,56,177,215,91,68
277,174,109,39,40,3,2019-10-01,2019-12-02,7.14,7.14,7.140000000000019,277,134,145,36,451,417,192,147,385,239,128,73,287,163,107,52
354,150,93,41,41,8,2019-10-01,2019-12-02,0.79,0.79,0.7900000000000001,375,232,137,78,588,360,183,106,379,185,107,54,470,216,130,65
263,163,93,55,42,1,2019-10-01,2019-12-02,4.52,4.52,4.519999999999988,337,221,137,65,368,247,153,106,302,178,102,55,339,191,114,64
239,139,113,24,43,5,2019-10-01,2019-12-02,5.24,5.24,5.240000000000007,432,291,212,71,470,314,245,90,322,196,123,59,352,199,148,68
224,168,104,61,44,2,2019-10-01,2019-12-02,1.51,1.51,1.5099999999999962,203,188,127,69,263,269,158,96,207,168,132,46,223,197,110,73
163,246,124,52,45,2,2019-10-01,2019-12-02,1.19,1.19,1.1899999999999982,182,262,112,73,195,378,164,103,154,169,92,47,154,193,79,53
45,110,61,20,46,2,2019-10-01,2019-12-02,0.4,0.4,0.3999999999999994,111,339,95,85,119,589,130,102,68,275,96,40,61,224,107,43
305,166,105,51,47,1,2019-10-01,2019-12-02,1.11,1.11,1.1100000000000059,311,239,132,62,374,306,142,97,374,219,75,48,486,271,121,62
237,126,87,31,48,4,2019-10-01,2019-12-02,4.75,4.75,4.75,347,231,137,68,345,242,132,85,265,195,109,49,333,212,127,67
408,216,143,59,49,3,2019-10-01,2019-12-02,6.27,6.27,6.269999999999985,457,251,165,55,573,287,206,75,438,236,153,60,493,229,150,79
156,216,127,43,50,2,2019-10-01,2019-12-02,1.59,1.59,1.5899999999999996,205,272,125,56,215,356,194,91,183,223,148,42,179,309,162,78
