view,cart,remove_from_cart,purchase,rank,rank_in_category,release_date,date,max_price,min_price,avg_price,view_prev1,cart_prev1,remove_from_cart_prev1,purchase_prev1,view_prev2,cart_prev2,remove_from_cart_prev2,purchase_prev2,view_prev3,cart_prev3,remove_from_cart_prev3,purchase_prev3,view_prev4,cart_prev4,remove_from_cart_prev4,purchase_prev4
5323,1229,492,300,1,1,2019-10-01,2019-12-23,5.24,5.24,5.239999999999818,6019,1534,660,412,6183,1759,722,469,5321,1575,618,405,6063,2213,885,574
175,743,240,132,2,1,2019-10-01,2019-12-23,0.32,0.32,0.3199999999999965,303,964,331,202,260,1059,383,203,324,1085,362,204,392,1573,468,282
220,135,117,35,3,1,2019-10-01,2019-12-23,0.95,0.95,0.9499999999999993,333,199,239,70,698,500,413,193,1126,762,302,266,1218,954,356,350
288,1124,279,154,4,1,2019-10-01,2019-12-23,0.32,0.32,0.3199999999999955,272,969,299,169,280,1403,352,191,354,1241,288,161,424,1658,404,221
1239,476,276,109,5,2,2019-10-01,2019-12-23,5.24,5.24,5.239999999999908,1289,469,348,110,1583,850,556,185,1391,667,391,179,2123,1033,613,266
688,343,215,102,6,1,2019-10-01,2019-12-23,10.95,10.95,10.949999999999907,837,420,285,137,909,484,293,159,981,515,318,123,1528,828,453,247
414,940,225,121,7,2,2019-10-01,2019-12-23,0.4,0.4,0.40000000000000374,444,1120,289,147,471,1266,331,168,520,1366,327,152,699,1668,459,185
433,603,277,80,8,1,2019-10-01,2019-12-23,0.92,0.92,0.920000000000003,595,713,324,138,667,755,301,151,633,788,378,123,886,987,403,208
154,300,95,85,9,1,2019-10-01,2019-12-23,0.32,0.32,0.31999999999999984,202,493,177,142,245,562,177,159,238,566,192,137,258,603,243,167
804,276,159,76,10,1,2019-10-01,2019-12-23,10.32,10.32,10.320000000000038,921,386,259,104,968,429,258,118,1002,423,230,118,1249,646,394,170
630,257,147,68,11,2,2019-10-01,2019-12-23,10.32,10.32,10.320000000000062,784,358,215,95,812,354,211,103,893,401,229,109,1215,723,384,192
