view,cart,remove_from_cart,purchase,rank,rank_in_category,release_date,date,max_price,min_price,avg_price,view_prev1,cart_prev1,remove_from_cart_prev1,purchase_prev1,view_prev2,cart_prev2,remove_from_cart_prev2,purchase_prev2,view_prev3,cart_prev3,remove_from_cart_prev3,purchase_prev3,view_prev4,cart_prev4,remove_from_cart_prev4,purchase_prev4
411,1170,330,155,1,1,2019-10-01,2019-10-28,0.4,0.4,0.40000000000000213,496,997,264,142,557,1156,288,164,589,1139,309,159,447,966,312,139
175,976,249,163,2,1,2019-10-01,2019-10-28,0.32,0.32,0.3199999999999959,171,933,287,191,118,718,242,135,164,1005,308,144,112,698,189,130
882,510,265,125,3,1,2019-10-01,2019-10-28,10.95,10.95,10.949999999999884,859,503,280,137,961,481,264,146,898,469,281,135,833,467,228,140
760,434,205,111,4,2,2019-10-01,2019-10-28,10.32,10.32,10.319999999999995,736,403,208,110,786,405,243,138,776,466,251,137,624,431,239,136
343,1385,324,186,5,2,2019-10-01,2019-10-28,0.32,0.32,0.31999999999999507,188,975,239,136,169,1068,249,131,183,963,257,144,160,830,203,107
979,398,214,110,6,1,2019-10-01,2019-10-28,10.32,10.32,10.319999999999961,985,433,240,121,1107,459,253,138,1104,508,277,129,933,433,264,104
233,1050,296,170,7,1,2019-10-01,2019-10-28,0.35,0.32,0.34982847341337553,254,1452,297,167,267,1223,260,176,186,1037,298,124,39,66,160,6
195,510,199,139,8,1,2019-10-01,2019-10-28,0.32,0.32,0.31999999999999723,231,561,177,145,186,469,168,134,166,433,161,136,89,207,121,28
93,595,161,85,9,2,2019-10-01,2019-10-28,0.32,0.32,0.3199999999999977,101,528,103,80,106,645,142,105,112,624,134,106,130,657,159,121
555,932,338,141,10,1,2019-10-01,2019-10-28,0.92,0.92,0.9199999999999983,392,636,251,100,390,639,226,134,315,593,241,106,251,441,172,71
822,399,181,111,11,2,2019-10-01,2019-10-28,10.32,10.32,10.319999999999993,771,385,201,90,849,491,172,141,722,242,123,51,659,289,138,86
518,255,149,72,12,1,2019-10-01,2019-10-28,9.52,9.52,9.519999999999985,533,332,203,73,536,302,147,96,623,334,164,97,390,312,118,90
239,217,154,73,13,1,2019-10-01,2019-10-28,1.27,1.27,1.2700000000000018,346,268,132,83,285,266,155,95,279,254,154,70,246,242,143,74
65,190,78,59,14,1,2019-10-01,2019-10-28,0.41,0.41,0.4099999999999987,65,239,95,87,76,244,84,92,77,211,78,76,56,171,62,63
487,257,147,56,15,1,2019-10-01,2019-10-28,0.79,0.79,0.7899999999999979,529,262,138,87,643,287,153,76,573,279,148,72,517,279,133,79
143,694,197,75,16,3,2019-10-01,2019-10-28,0.4,0.4,0.4000000000000028,205,592,150,73,211,681,106,63,223,616,113,86,162,520,125,67
241,261,92,76,17,1,2019-10-01,2019-10-28,2.37,2.37,2.3700000000000037,213,244,94,79,185,246,84,69,190,215,95,67,135,215,67,66
63,211,117,59,18,3,2019-10-01,2019-10-28,1.13,0.56,0.7639333333333345,80,330,99,71,79,304,85,69,108,385,83,84,95,270,78,57
218,214,110,50,19,2,2019-10-01,2019-10-28,0.79,0.78,0.7899831081081089,203,219,109,77,199,255,134,67,221,249,95,70,170,200,104,58
225,98,112,32,20,3,2019-10-01,2019-10-28,7.14,7.14,7.139999999999996,308,198,138,61,333,218,130,79,281,230,121,64,250,187,143,54
229,238,151,66,21,1,2019-10-01,2019-10-28,1.9,1.81,1.899546783625724,224,244,128,79,259,225,155,64,245,261,156,60,188,219,113,54
1166,540,272,127,22,1,2019-10-01,2019-10-28,5.24,5.24,5.239999999999907,623,262,183,39,449,16,129,5,1504,441,340,89,1632,549,260,115
198,204,147,41,23,2,2019-10-01,2019-10-28,1.9,1.9,1.8999999999999955,190,222,139,43,253,292,168,68,241,318,176,71,319,327,201,65
139,176,78,59,24,2,2019-10-01,2019-10-28,1.94,1.94,1.9399999999999982,138,192,83,60,134,210,85,59,113,194,84,62,98,177,88,60
170,199,111,57,25,1,2019-10-01,2019-10-28,3.16,3.16,3.160000000000007,148,157,86,57,130,176,105,56,111,171,97,62,100,153,80,66
151,208,122,55,26,3,2019-10-01,2019-10-28,1.59,1.59,1.5900000000000003,137,274,144,63,185,230,119,54,206,270,159,68,192,234,139,54
456,211,138,49,27,3,2019-10-01,2019-10-28,0.79,0.79,0.7899999999999985,472,235,143,70,524,241,117,48,563,231,113,62,401,177,69,55
730,386,242,81,28,2,2019-10-01,2019-10-28,5.24,5.24,5.239999999999966,1146,486,259,73,989,331,229,61,1118,372,205,64,484,184,118,34
40,377,82,68,29,4,2019-10-01,2019-10-28,0.38,0.38,0.38000000000000045,54,408,142,48,47,242,64,52,38,371,81,68,51,341,99,58
185,201,99,52,30,2,2019-10-01,2019-10-28,1.19,1.19,1.1899999999999982,149,197,106,65,145,184,84,53,176,247,82,60,138,182,107,45
102,130,68,51,31,2,2019-10-01,2019-10-28,2.38,2.38,2.3799999999999972,135,140,84,52,122,156,82,66,136,143,78,56,121,137,80,48
1349,200,125,50,32,1,2019-10-01,2019-10-28,44.29,44.29,44.29000000000059,1401,217,104,55,1616,232,93,62,1589,219,95,62,1240,178,71,43
212,171,131,38,33,4,2019-10-01,2019-10-28,1.59,1.59,1.5899999999999992,239,141,135,23,140,11,164,6,518,411,231,103,370,383,162,87
171,127,100,33,34,5,2019-10-01,2019-10-28,1.27,1.27,1.270000000000002,149,86,90,13,499,285,174,82,254,201,132,49,301,230,104,69
241,4,77,2,35,1,2019-10-01,2019-10-28,3.33,3.33,3.3299999999999996,236,23,134,5,228,225,116,86,244,216,85,69,177,195,95,47
77,372,104,55,36,5,2019-10-01,2019-10-28,0.4,0.4,0.40000000000000036,69,481,92,52,68,415,117,58,76,358,104,37,67,407,97,59
72,308,83,53,37,4,2019-10-01,2019-10-28,0.4,0.4,0.39999999999999963,72,346,93,43,65,169,74,41,73,297,103,63,93,383,82,58
119,114,55,46,38,2,2019-10-01,2019-10-28,1.75,1.75,1.75,121,118,55,51,118,131,57,53,109,124,67,50,97,130,62,51
44,38,116,6,39,4,2019-10-01,2019-10-28,2.22,2.22,2.2199999999999993,127,252,175,50,107,291,158,65,171,273,185,47,113,275,138,43
139,286,127,54,40,1,2019-10-01,2019-10-28,0.63,0.63,0.6299999999999983,137,316,89,64,80,228,72,39,101,239,72,53,79,180,89,48
95,126,67,50,41,1,2019-10-01,2019-10-28,1.06,1.06,1.0600000000000016,65,150,79,50,59,172,57,56,77,179,95,52,55,128,67,41
164,140,96,49,42,2,2019-10-01,2019-10-28,1.51,1.51,1.5099999999999976,216,188,108,52,250,188,106,56,166,140,78,56,138,122,82,35
80,159,86,50,43,1,2019-10-01,2019-10-28,0.22,0.22,0.2199999999999997,92,178,92,52,111,186,76,60,78,157,80,46,65,136,76,39
506,212,105,47,44,6,2019-10-01,2019-10-28,0.79,0.79,0.789999999999998,508,195,108,48,568,220,110,65,521,206,90,39,483,189,81,45
208,127,97,31,45,4,2019-10-01,2019-10-28,4.75,4.75,4.75,266,164,103,49,280,196,96,50,295,199,114,54,258,148,104,44
231,116,79,42,46,1,2019-10-01,2019-10-28,4.52,4.52,4.51999999999999,282,157,105,58,240,151,89,51,211,132,76,37,184,145,88,50
92,149,55,39,47,2,2019-10-01,2019-10-28,0.6,0.6,0.6000000000000006,104,178,78,51,96,187,73,54,105,152,61,47,60,151,56,42
58,150,80,41,48,2,2019-10-01,2019-10-28,0.62,0.3,0.4186626139817625,103,240,123,51,101,242,94,52,88,222,86,51,87,221,86,38
211,160,130,32,49,1,2019-10-01,2019-10-28,2.62,2.62,2.6200000000000037,321,187,154,20,318,191,167,31,327,196,174,38,350,367,238,102
116,119,72,46,50,1,2019-10-01,2019-10-28,0.87,0.87,0.870000000000001,115,160,73,63,110,141,66,43,107,142,74,44,96,111,57,40
2405,77,57,16,51,1,2019-10-01,2019-10-28,18.89,18.89,18.889999999999787,1533,82,51,19,1658,78,70,21,2033,140,68,55,1935,241,51,94
306,222,94,48,52,1,2019-10-01,2019-10-28,1.11,1.11,1.110000000000006,341,196,82,40,231,163,84,50,282,183,125,49,179,155,78,47
157,165,103,42,53,7,2019-10-01,2019-10-28,0.79,0.79,0.7900000000000023,85,150,73,48,128,167,82,63,97,161,81,32,87,145,86,42
271,184,130,50,54,1,2019-10-01,2019-10-28,2.86,2.86,2.8600000000000105,316,193,127,47,293,218,132,62,249,169,115,44,199,123,76,32
140,151,87,40,55,8,2019-10-01,2019-10-28,1.27,1.27,1.270000000000002,105,88,89,27,185,195,79,70,154,179,81,50,159,140,48,36
101,139,69,42,56,1,2019-10-01,2019-10-28,1.43,1.43,1.4300000000000042,111,169,105,57,120,152,76,51,75,127,65,31,95,130,81,43
377,149,100,31,57,3,2019-10-01,2019-10-28,4.44,4.44,4.440000000000024,324,188,122,41,344,181,109,36,394,235,100,42,382,219,166,60
50,1,51,1,58,1,2019-10-01,2019-10-28,6.19,6.19,6.189999999999999,168,107,74,36,139,120,75,38,114,126,68,51,131,143,64,53
106,140,86,38,59,5,2019-10-01,2019-10-28,0.67,0.67,0.6700000000000014,126,172,100,43,141,198,102,52,115,212,101,43,79,144,76,39
515,246,146,44,60,3,2019-10-01,2019-10-28,5.24,5.24,5.240000000000007,326,136,121,32,587,222,170,45,897,352,198,71,475,186,124,29
143,155,99,45,61,1,2019-10-01,2019-10-28,2.7,2.7,2.699999999999993,144,154,96,49,126,159,89,46,87,129,106,39,87,128,78,42
198,535,67,30,62,1,2019-10-01,2019-10-28,0.4,0.4,0.4000000000000018,190,597,112,48,212,579,107,51,191,506,127,43,128,454,107,33
64,97,84,32,63,2,2019-10-01,2019-10-28,0.79,0.79,0.7900000000000001,83,107,70,41,84,142,66,49,71,153,77,46,48,104,59,39
139,123,72,39,64,5,2019-10-01,2019-10-28,2.94,2.94,2.9399999999999986,177,142,85,37,178,142,84,35,162,144,117,43,193,211,128,56
132,123,85,29,65,9,2019-10-01,2019-10-28,0.79,0.79,0.7900000000000015,150,138,106,39,180,189,130,50,151,191,108,45,125,141,82,36
428,127,45,25,66,1,2019-10-01,2019-10-28,6.22,6.22,6.220000000000022,364,154,59,44,367,166,81,38,417,174,92,53,356,142,82,32
257,136,94,32,67,2,2019-10-01,2019-10-28,9.52,9.52,9.519999999999985,269,188,111,50,203,156,86,35,248,142,85,43,189,149,63,37
201,157,75,37,68,1,2019-10-01,2019-10-28,0.79,0.79,0.7900000000000024,195,171,85,39,202,163,67,41,190,167,70,48,172,142,65,36
228,264,135,67,69,10,2019-10-01,2019-10-28,1.59,1.59,1.589999999999994,100,162,96,63,102,183,88,48,64,134,60,23,51,95,33,30
408,147,89,31,70,4,2019-10-01,2019-10-28,10.63,10.63,10.630000000000061,395,165,86,37,321,167,123,42,435,171,125,40,337,187,110,45
201,243,114,60,71,11,2019-10-01,2019-10-28,1.59,1.59,1.5899999999999967,146,208,115,59,137,186,95,53,130,142,66,25,74,105,48,24
114,127,83,40,72,1,2019-10-01,2019-10-28,3.0,3.0,3.0,121,126,79,39,127,137,106,45,177,154,102,44,133,121,85,32
96,190,86,47,73,6,2019-10-01,2019-10-28,1.59,1.59,1.5900000000000027,84,173,87,43,78,189,76,46,72,145,86,39,82,181,91,31
158,101,55,48,74,1,2019-10-01,2019-10-28,6.19,6.19,6.1900000000000155,174,105,58,44,193,109,47,41,170,124,78,43,122,101,50,31
125,95,102,18,75,12,2019-10-01,2019-10-28,1.9,1.9,1.9000000000000032,205,174,105,37,304,257,137,62,176,130,111,27,185,118,105,32
173,134,81,38,76,2,2019-10-01,2019-10-28,3.17,3.17,3.170000000000004,147,118,81,39,132,119,88,34,134,126,65,50,117,97,62,34
80,350,101,50,77,6,2019-10-01,2019-10-28,0.29,0.29,0.2899999999999995,60,328,95,36,56,282,91,41,83,311,87,32,53,214,95,44
221,100,44,32,78,1,2019-10-01,2019-10-28,2.38,2.38,2.379999999999997,260,123,72,38,249,105,70,37,235,160,107,42,189,105,48,36
342,168,115,38,79,5,2019-10-01,2019-10-28,6.27,6.27,6.269999999999986,471,190,144,48,298,134,114,34,386,182,135,36,329,167,113,35
31,0,24,0,80,3,2019-10-01,2019-10-28,19.05,19.05,19.050000000000008,105,109,50,34,79,106,47,43,98,86,57,29,83,101,27,46
200,130,99,35,81,6,2019-10-01,2019-10-28,10.63,10.63,10.630000000000038,206,129,111,28,250,119,82,43,275,137,114,43,178,125,83,37
25,107,57,42,82,3,2019-10-01,2019-10-28,1.43,1.43,1.4300000000000026,54,105,76,44,41,120,50,43,49,115,55,33,38,91,62,29
769,165,76,38,83,1,2019-10-01,2019-10-28,7.14,7.14,7.140000000000013,827,163,78,40,851,179,83,46,600,166,57,30,547,133,57,33
94,170,86,43,84,7,2019-10-01,2019-10-28,1.59,1.59,1.5900000000000025,88,180,113,34,104,208,103,49,141,200,128,30,108,207,80,34
121,73,31,26,85,2,2019-10-01,2019-10-28,3.81,3.81,3.8100000000000014,135,103,55,31,107,59,51,24,182,120,42,54,125,96,44,37
708,126,56,41,86,1,2019-10-01,2019-10-28,13.33,13.33,13.32999999999995,717,134,60,35,778,149,74,44,739,154,49,50,574,92,58,17
421,118,61,43,87,1,2019-10-01,2019-10-28,16.19,16.19,16.190000000000044,389,114,52,39,332,109,45,39,346,135,54,35,305,97,34,33
