view,cart,remove_from_cart,purchase,rank,rank_in_category,release_date,date,max_price,min_price,avg_price,view_prev1,cart_prev1,remove_from_cart_prev1,purchase_prev1,view_prev2,cart_prev2,remove_from_cart_prev2,purchase_prev2,view_prev3,cart_prev3,remove_from_cart_prev3,purchase_prev3,view_prev4,cart_prev4,remove_from_cart_prev4,purchase_prev4
5413,1787,861,494,1,1,2019-10-01,2020-01-20,5.24,5.24,5.239999999999813,6268,1903,825,498,4950,1341,699,361,4053,1131,525,249,5323,1229,492,300
415,1422,445,228,2,1,2019-10-01,2020-01-20,0.32,0.32,0.31999999999999484,364,1376,449,242,366,1203,382,214,282,902,288,135,175,743,240,132
252,1005,373,109,3,1,2019-10-01,2020-01-20,0.32,0.32,0.3199999999999956,495,1698,498,234,509,1958,432,219,321,1111,303,113,288,1124,279,154
1713,812,505,213,4,2,2019-10-01,2020-01-20,5.24,5.24,5.239999999999863,1898,839,517,227,1851,794,448,210,1075,515,351,101,1239,476,276,109
589,1272,360,142,5,2,2019-10-01,2020-01-20,0.4,0.4,0.39999999999999897,650,1451,366,202,572,1425,335,167,412,1138,285,144,414,940,225,121
286,1704,345,238,6,1,2019-10-01,2020-01-20,0.35,0.35,0.3499999999999999,284,1477,405,242,289,1820,404,212,122,908,178,100,77,252,68,37
975,593,309,206,7,1,2019-10-01,2020-01-20,10.95,10.95,10.949999999999875,1112,586,300,187,1118,525,327,157,754,343,208,90,688,343,215,102
634,855,392,140,8,1,2019-10-01,2020-01-20,0.92,0.92,0.9199999999999972,595,970,395,158,603,844,370,160,419,654,272,93,433,603,277,80
251,552,194,135,9,1,2019-10-01,2020-01-20,0.32,0.32,0.3199999999999969,247,573,216,166,290,507,221,129,178,324,137,78,154,300,95,85
989,475,235,152,10,1,2019-10-01,2020-01-20,10.32,10.32,10.319999999999942,1089,500,281,158,923,438,256,134,551,355,176,91,630,257,147,68
1134,480,291,147,11,2,2019-10-01,2020-01-20,10.32,10.32,10.319999999999919,1266,515,295,150,1250,533,299,145,714,309,211,74,804,276,159,76
592,348,196,129,12,2,2019-10-01,2020-01-20,10.32,10.32,10.32000000000005,783,422,250,132,631,396,218,129,463,298,177,90,503,250,161,53
241,184,136,41,13,1,2019-10-01,2020-01-20,3.0,3.0,3.0,191,191,184,60,355,488,324,130,222,353,219,84,241,452,260,96
99,655,174,114,14,3,2019-10-01,2020-01-20,0.38,0.38,0.37999999999999823,85,675,179,100,97,632,182,104,76,431,136,57,82,535,167,90
