view,cart,remove_from_cart,purchase,rank,rank_in_category,release_date,date,max_price,min_price,avg_price,view_prev1,cart_prev1,remove_from_cart_prev1,purchase_prev1,view_prev2,cart_prev2,remove_from_cart_prev2,purchase_prev2,view_prev3,cart_prev3,remove_from_cart_prev3,purchase_prev3,view_prev4,cart_prev4,remove_from_cart_prev4,purchase_prev4
6019,1534,660,412,1,1,2019-10-01,2019-12-16,5.24,5.24,5.239999999999813,6183,1759,722,469,5321,1575,618,405,6063,2213,885,574,5415,2397,983,729
333,199,239,70,2,1,2019-10-01,2019-12-16,0.95,0.95,0.9499999999999951,698,500,413,193,1126,762,302,266,1218,954,356,350,775,957,333,369
303,964,331,202,3,1,2019-10-01,2019-12-16,0.32,0.32,0.31999999999999557,260,1059,383,203,324,1085,362,204,392,1573,468,282,472,2104,525,414
1289,469,348,110,4,2,2019-10-01,2019-12-16,5.24,5.24,5.239999999999902,1583,850,556,185,1391,667,391,179,2123,1033,613,266,2203,1378,672,359
837,420,285,137,5,1,2019-10-01,2019-12-16,10.95,10.95,10.94999999999989,909,484,293,159,981,515,318,123,1528,828,453,247,1394,1049,569,315
444,1120,289,147,6,1,2019-10-01,2019-12-16,0.4,0.4,0.4000000000000023,471,1266,331,168,520,1366,327,152,699,1668,459,185,872,2299,505,315
202,493,177,142,7,1,2019-10-01,2019-12-16,0.32,0.32,0.31999999999999734,245,562,177,159,238,566,192,137,258,603,243,167,389,936,292,314
595,713,324,138,8,1,2019-10-01,2019-12-16,0.92,0.92,0.9200000000000026,667,755,301,151,633,788,378,123,886,987,403,208,962,1371,516,287
921,386,259,104,9,1,2019-10-01,2019-12-16,10.32,10.32,10.319999999999967,968,429,258,118,1002,423,230,118,1249,646,394,170,1358,928,521,282
272,969,299,169,10,2,2019-10-01,2019-12-16,0.32,0.32,0.3199999999999957,280,1403,352,191,354,1241,288,161,424,1658,404,221,279,681,409,96
784,358,215,95,11,2,2019-10-01,2019-12-16,10.32,10.32,10.320000000000006,812,354,211,103,893,401,229,109,1215,723,384,192,1217,932,502,257
603,285,209,93,12,2,2019-10-01,2019-12-16,10.32,10.32,10.320000000000068,593,323,223,125,615,333,200,103,745,554,325,157,903,878,462,261
467,202,148,75,13,2,2019-10-01,2019-12-16,1.59,1.59,1.58999999999999,535,280,297,97,656,336,187,116,682,531,343,174,640,648,287,230
419,243,183,85,14,3,2019-10-01,2019-12-16,1.59,1.59,1.5899999999999896,596,413,213,141,254,208,237,64,455,499,251,170,443,460,373,138
436,241,154,94,15,4,2019-10-01,2019-12-16,1.59,1.59,1.5899999999999896,584,398,199,138,298,211,117,54,447,358,297,85,471,595,270,227
1126,358,269,87,16,3,2019-10-01,2019-12-16,5.24,5.24,5.2399999999999265,1090,484,334,98,993,492,306,116,1288,700,407,157,893,453,323,88
261,229,145,72,17,1,2019-10-01,2019-12-16,1.27,1.27,1.2700000000000011,299,245,127,81,304,246,154,76,318,305,157,106,415,384,202,152
509,294,157,89,18,1,2019-10-01,2019-12-16,9.52,9.52,9.519999999999984,533,289,178,88,541,313,167,84,738,460,225,126,682,496,258,112
225,413,113,79,19,1,2019-10-01,2019-12-16,1.98,1.98,1.9800000000000075,256,371,104,81,205,290,113,65,293,598,179,113,384,662,161,145
549,237,108,97,20,5,2019-11-19,2019-12-16,0.79,0.79,0.7899999999999979,645,355,102,157,352,172,38,57,163,18,100,4,932,430,112,176
114,159,102,60,21,1,2019-10-01,2019-12-16,0.22,0.22,0.21999999999999958,71,154,133,43,141,205,130,63,147,335,166,121,188,446,181,154
191,188,102,62,22,6,2019-10-01,2019-12-16,0.79,0.79,0.7900000000000017,50,0,138,0,311,321,157,89,381,453,265,120,341,555,203,169
119,578,101,114,23,3,2019-10-01,2019-12-16,0.38,0.38,0.37999999999999856,69,420,144,52,115,457,147,81,103,614,155,121,126,781,158,117
208,369,112,58,24,4,2019-10-01,2019-12-16,0.4,0.4,0.4000000000000013,311,463,135,61,261,586,159,62,471,885,176,95,383,1286,238,149
926,339,252,70,25,4,2019-10-01,2019-12-16,5.24,5.24,5.239999999999948,877,422,277,95,509,243,201,46,737,277,315,51,1404,673,459,171
257,122,109,46,26,7,2019-10-01,2019-12-16,0.79,0.79,0.7900000000000015,406,206,142,63,458,182,127,52,583,338,184,120,696,418,250,114
265,218,130,45,27,1,2019-10-01,2019-12-16,1.9,1.9,1.8999999999999935,330,259,129,82,251,284,143,90,262,281,151,94,275,278,251,83
65,221,100,74,28,1,2019-10-01,2019-12-16,0.41,0.41,0.4099999999999984,58,209,68,81,70,186,83,56,93,267,112,82,91,306,133,126
275,169,102,55,29,1,2019-10-01,2019-12-16,2.86,2.86,2.8600000000000105,322,184,150,56,318,213,138,64,351,310,194,99,466,397,206,123
84,5,59,3,30,1,2019-10-01,2019-12-16,3.33,3.33,3.330000000000002,127,141,101,58,85,171,57,76,156,307,120,116,129,274,117,91
331,238,173,60,31,1,2019-10-01,2019-12-16,2.62,2.62,2.6200000000000037,369,245,161,68,323,269,192,60,530,427,294,87,568,529,285,123
458,287,183,60,32,1,2019-10-01,2019-12-16,2.68,2.68,2.679999999999983,353,166,132,29,73,3,140,1,773,527,360,130,887,756,308,174
129,96,73,33,33,8,2019-10-01,2019-12-16,0.79,0.79,0.790000000000001,179,190,97,69,102,119,85,36,131,91,140,39,341,483,195,185
122,295,93,53,34,1,2019-10-01,2019-12-16,0.63,0.63,0.6299999999999987,164,291,98,73,104,229,90,53,124,344,104,77,164,456,120,125
161,228,100,71,35,1,2019-10-01,2019-12-16,2.37,2.37,2.3700000000000037,159,241,100,67,161,177,86,54,188,269,92,94,223,328,114,111
167,153,95,74,36,1,2019-10-01,2019-12-16,3.16,3.16,3.16000000000001,137,154,81,61,146,175,81,54,128,224,110,95,194,244,134,114
220,188,77,59,37,9,2019-11-19,2019-12-16,1.27,1.27,1.2700000000000038,234,203,114,72,124,142,106,36,264,322,148,105,173,214,68,84
52,382,86,42,38,5,2019-10-01,2019-12-16,0.4,0.4,0.3999999999999999,96,449,87,49,106,518,147,49,120,676,185,78,149,1054,247,118
145,116,70,46,39,1,2019-10-01,2019-12-16,2.3,2.3,2.3000000000000056,233,228,115,70,161,153,100,49,250,259,127,85,224,241,89,90
144,151,65,54,40,2,2019-10-01,2019-12-16,2.38,2.38,2.3799999999999963,166,150,63,52,132,129,60,41,162,230,113,81,209,259,98,114
192,134,56,36,41,2,2019-10-01,2019-12-16,1.94,1.94,1.939999999999998,202,191,80,51,179,190,88,45,213,228,124,81,162,324,115,106
261,152,113,29,42,2,2019-10-01,2019-12-16,1.51,1.51,1.5099999999999962,214,149,90,55,224,168,104,61,203,188,127,69,263,269,158,96
137,152,83,62,43,1,2019-10-01,2019-12-16,0.38,0.38,0.3800000000000009,184,209,94,71,100,157,83,58,141,127,78,53,169,245,147,97
247,167,101,57,44,3,2019-10-01,2019-12-16,7.14,7.14,7.140000000000016,309,185,114,56,277,174,109,39,277,134,145,36,451,417,192,147
216,126,79,52,45,1,2019-10-01,2019-12-16,4.52,4.52,4.51999999999999,236,145,82,51,263,163,93,55,337,221,137,65,368,247,153,106
19,19,52,3,46,1,2019-10-01,2019-12-16,0.4,0.4,0.4000000000000002,75,351,117,67,45,110,61,20,111,339,95,85,119,589,130,102
154,188,81,52,47,2,2019-10-01,2019-12-16,1.19,1.19,1.1899999999999984,176,241,106,41,163,246,124,52,182,262,112,73,195,378,164,103
218,85,71,26,48,10,2019-10-01,2019-12-16,0.79,0.79,0.790000000000002,270,124,80,33,354,150,93,41,375,232,137,78,588,360,183,106
107,86,72,26,49,11,2019-11-19,2019-12-16,1.59,1.59,1.5900000000000025,144,118,122,45,113,153,108,42,172,264,147,78,188,340,135,90
